Vendor,Visibility,Detection,Substeps,Confidence,Quality
crowdstrike,105.000,71.000,136.000,0.000,0.438
cybereason,107.000,59.000,136.000,0.000,1.000
elastic,101.000,63.000,136.000,0.000,0.673
fireeye,100.000,91.000,136.000,0.000,0.260
gosecure,96.000,36.000,136.000,0.000,0.740
mcafee,92.000,68.000,136.000,0.000,0.978
microsoft,108.000,41.000,136.000,0.000,0.676
paloaltonetworks,124.000,88.000,136.000,0.000,0.992
rsa,76.000,1.000,136.000,0.000,1.000
sentinelone,101.000,8.000,136.000,0.000,1.000
vmware,101.000,69.000,136.000,0.000,0.950
withsecure,122.000,72.000,136.000,0.000,1.000
