Vendor,Visibility,Detection,Substeps,Confidence,Quality
ahnlab,90.000,37.000,162.000,0.517,0.867
bitdefender,158.000,151.000,174.000,0.927,0.759
checkpoint,162.000,157.000,174.000,0.974,0.691
cisco,122.000,42.000,174.000,0.443,0.967
crowdstrike,152.000,64.000,174.000,0.503,0.796
cybereason,160.000,148.000,174.000,0.930,0.956
cycraft,130.000,125.000,174.000,0.750,1.000
cylance,141.000,99.000,174.000,0.656,0.766
cynet,153.000,107.000,174.000,0.735,0.791
elastic,140.000,63.000,174.000,0.550,0.843
eset,147.000,93.000,162.000,0.658,0.850
fidelis,147.000,119.000,174.000,0.833,0.626
fireeye,136.000,124.000,174.000,0.893,0.875
fortinet,117.000,68.000,162.000,0.626,0.906
gosecure,100.000,59.000,162.000,0.620,0.920
malwarebytes,116.000,85.000,162.000,0.787,0.862
mcafee,151.000,93.000,174.000,0.654,0.887
microfocus,122.000,82.000,174.000,0.738,0.869
microsoft,151.000,134.000,174.000,0.881,0.788
opentext,125.000,67.000,162.000,0.628,0.608
paloaltonetworks,169.000,149.000,174.000,0.882,0.982
reaqta,135.000,101.000,174.000,0.724,1.000
sentinelone,174.000,159.000,174.000,0.918,1.000
sophos,118.000,39.000,162.000,0.492,0.949
symantec,159.000,122.000,174.000,0.786,0.742
trendmicro,167.000,139.000,174.000,0.822,0.689
uptycs,127.000,62.000,174.000,0.506,0.921
vmware,154.000,90.000,174.000,0.614,0.961
withsecure,152.000,80.000,174.000,0.551,0.914
