Tactic,Technique,Visibility,Detection,Substeps,Confidence,Quality
Initial Access,Phishing,29.000,24.000,29.000,0.767,0.931
Initial Access,Drive-by Compromise,42.000,36.000,54.000,0.756,0.857
Execution,User Execution,58.000,58.000,58.000,0.862,0.862
Execution,Command and Scripting Interpreter,208.000,192.000,226.000,0.923,0.885
Execution,System Services,54.000,48.000,58.000,0.856,0.889
Execution,Native API,43.000,30.000,58.000,0.680,0.721
Execution,Scheduled Task/Job,54.000,51.000,55.000,0.889,0.815
Execution,Inter-Process Communication,78.000,54.000,115.000,0.696,0.705
Execution,Ingress Tool Transfer,402.000,334.000,405.000,0.795,0.764
Execution,Windows Management Instrumentation,29.000,26.000,29.000,0.922,1.000
Defense Evasion,Obfuscated Files or Information,85.000,80.000,142.000,0.865,0.659
Defense Evasion,Modify Registry,86.000,75.000,87.000,0.831,0.826
Defense Evasion,Process Injection,110.000,99.000,116.000,0.857,0.818
Defense Evasion,Masquerading,133.000,102.000,141.000,0.741,0.827
Defense Evasion,Indicator Removal on Host,251.000,228.000,261.000,0.892,0.845
Defense Evasion,File and Directory Permissions Modification,25.000,23.000,26.000,0.920,0.840
Defense Evasion,Subvert Trust Controls,23.000,21.000,29.000,0.826,0.652
Defense Evasion,Rootkit,42.000,38.000,58.000,0.875,0.786
Defense Evasion,Deobfuscate/Decode Files or Information,17.000,13.000,29.000,0.676,0.882
Defense Evasion,Use Alternate Authentication Material,57.000,53.000,58.000,0.899,0.877
Defense Evasion,Hide Artifacts,9.000,5.000,27.000,0.639,0.444
Persistence,Boot or Logon Autostart Execution,29.000,27.000,29.000,0.905,0.931
Persistence,Create or Modify System Process,83.000,73.000,84.000,0.873,0.880
Persistence,Scheduled Task/Job,54.000,51.000,55.000,0.889,0.815
Persistence,Event Triggered Execution,9.000,7.000,29.000,0.833,0.889
Persistence,Create Account,28.000,28.000,29.000,0.938,1.000
Persistence,Server Software Component,29.000,27.000,29.000,0.914,0.931
Discovery,Process Discovery,97.000,93.000,116.000,0.943,0.887
Discovery,Account Discovery,79.000,76.000,87.000,0.886,0.848
Discovery,File and Directory Discovery,23.000,19.000,29.000,0.815,0.783
Discovery,Permission Groups Discovery,115.000,111.000,116.000,0.909,0.870
Discovery,System Service Discovery,29.000,28.000,29.000,0.966,0.966
Discovery,Query Registry,29.000,29.000,29.000,1.000,0.897
Discovery,System Owner/User Discovery,29.000,28.000,29.000,0.957,0.931
Discovery,Remote System Discovery,57.000,55.000,58.000,0.877,0.877
Discovery,Network Sniffing,15.000,14.000,26.000,0.950,0.867
Discovery,System Information Discovery,29.000,29.000,29.000,0.948,1.000
Discovery,System Network Connections Discovery,29.000,27.000,29.000,0.931,0.931
Discovery,System Network Configuration Discovery,27.000,26.000,27.000,0.935,1.000
Collection,Archive Collected Data,11.000,9.000,29.000,0.841,0.545
Collection,Input Capture,27.000,23.000,29.000,0.815,0.889
Collection,Email Collection,24.000,11.000,27.000,0.573,0.708
Command and Control,Data Encoding,48.000,44.000,137.000,0.901,0.500
Command and Control,Application Layer Protocol,236.000,188.000,256.000,0.809,0.847
Command and Control,Proxy,74.000,57.000,87.000,0.716,0.730
Command and Control,Encrypted Channel,90.000,82.000,201.000,0.861,0.522
Command and Control,Ingress Tool Transfer,402.000,334.000,405.000,0.795,0.764
Command and Control,Traffic Signaling,27.000,22.000,51.000,0.815,0.852
Command and Control,Data Obfuscation,13.000,12.000,54.000,0.904,0.538
Privilege Escalation,Hijack Execution Flow,29.000,27.000,29.000,0.888,0.897
Privilege Escalation,Access Token Manipulation,41.000,33.000,58.000,0.774,0.829
Privilege Escalation,Valid Accounts,28.000,20.000,29.000,0.732,0.929
Credential Access,Brute Force,29.000,26.000,29.000,0.853,0.897
Credential Access,OS Credential Dumping,57.000,55.000,58.000,0.947,0.877
Lateral Movement,Lateral Tool Transfer,58.000,53.000,58.000,0.810,0.931
Lateral Movement,Use Alternate Authentication Material,57.000,53.000,58.000,0.899,0.877
Lateral Movement,Remote Services,58.000,54.000,58.000,0.819,0.931
Exfiltration,Exfiltration Over C2 Channel,21.000,14.000,27.000,0.702,0.714
