Vendor,Visibility,Detection,Substeps,Confidence,Quality
ahnlab,98.000,96.000,117.000,0.770,0.878
bitdefender,131.000,127.000,142.000,0.931,0.664
blackberry,117.000,90.000,143.000,0.709,0.812
crowdstrike,143.000,143.000,143.000,0.990,0.825
cybereason,143.000,142.000,143.000,0.984,1.000
cynet,143.000,143.000,143.000,0.979,0.979
deepinstinct,118.000,116.000,132.000,0.975,0.763
elastic,115.000,80.000,143.000,0.630,0.965
eset,111.000,85.000,143.000,0.757,0.847
fortinet,140.000,136.000,143.000,0.971,0.886
harfanglab,125.000,113.000,143.000,0.918,0.648
ibmsecurity,103.000,90.000,143.000,0.808,1.000
malwarebytes,118.000,108.000,143.000,0.896,0.602
microsoft,143.000,140.000,143.000,0.967,0.727
paloaltonetworks,143.000,143.000,143.000,0.998,1.000
qualys,112.000,74.000,139.000,0.638,0.420
rapid7,101.000,47.000,143.000,0.540,0.832
secureworks,112.000,74.000,143.000,0.681,0.768
sentinelone,126.000,120.000,131.000,0.931,1.000
somma,84.000,48.000,143.000,0.601,1.000
sophos,141.000,140.000,143.000,0.933,0.773
symantec,108.000,93.000,143.000,0.752,1.000
tehtris,96.000,74.000,143.000,0.680,0.958
trellix,116.000,104.000,143.000,0.838,0.733
trendmicro,126.000,118.000,143.000,0.925,0.643
uptycs,126.000,120.000,143.000,0.921,0.817
vmware,103.000,84.000,143.000,0.789,0.796
watchguard,104.000,92.000,132.000,0.803,1.000
withsecure,96.000,77.000,143.000,0.768,0.573
